epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,159.062,0.9583,0.77981,1.12324,1,0.48247,0.61473,0.23927,2.53104,1.57373,2.63959,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,160.831,0.87768,0.72014,1.17875,1,0.45573,0.59957,0.23562,2.49465,1.57006,2.5912,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,162.489,0.78662,0.69953,1.10446,0.83387,0.4,0.58066,0.23257,2.46927,1.54301,2.57537,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,164.162,0.89435,0.70195,1.08992,0.57182,0.6696,0.58992,0.2347,2.48929,1.54872,2.58639,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,165.827,0.88929,0.8346,1.17315,0.49574,0.6,0.56874,0.22928,2.56689,1.59553,2.61443,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,167.501,0.79734,0.64376,1.12041,0.51309,0.6,0.56201,0.22721,2.55662,1.62261,2.58237,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,169.2,0.92676,0.723,1.18949,0.54787,0.7,0.57714,0.23064,2.49447,1.5903,2.56771,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,170.911,0.7858,0.73046,1.09174,0.5259,0.7,0.55687,0.22382,2.43983,1.55225,2.57016,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,172.595,0.7526,0.6526,1.07663,0.59289,0.58401,0.55848,0.22374,2.44943,1.56142,2.58302,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,174.3,0.89586,0.67079,1.11912,0.59731,0.59394,0.53649,0.21159,2.47378,1.57372,2.59078,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,175.982,0.78108,0.80852,1.14904,0.60637,0.6,0.54977,0.20807,2.47655,1.5646,2.60744,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,184.102,0.79462,0.56308,1.16751,0.65397,0.6,0.59413,0.24129,2.51404,1.49845,2.59617,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,185.913,0.85445,0.62057,1.13275,0.67246,0.6,0.64017,0.26147,2.45211,1.54918,2.55321,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,187.67,0.79672,0.52971,1.16762,1,0.59066,0.66491,0.26745,2.45353,1.49094,2.54352,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,189.54,0.77294,0.55689,1.16438,0.9232,0.6,0.68755,0.264,2.43252,1.4421,2.54484,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,191.198,0.63828,0.45367,1.04323,0.93177,0.6,0.67387,0.27084,2.40076,1.47297,2.52872,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,193.04,0.70404,0.51063,1.05337,0.94633,0.6,0.67074,0.25299,2.38464,1.46735,2.51542,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,194.724,0.69999,0.55212,1.01193,0.95352,0.6,0.6709,0.26133,2.40753,1.41014,2.52448,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,196.403,0.68879,0.48608,1.06198,0.95402,0.6,0.67045,0.26138,2.41032,1.39192,2.52295,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,198.233,0.70113,0.47078,1.03801,0.9555,0.6,0.67014,0.26052,2.35737,1.33607,2.5321,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,199.917,0.76454,0.74753,1.08096,0.9548,0.6,0.67792,0.2547,2.36348,1.34195,2.53685,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
